Date, Time,Minimum_Air_Temp,Current_Air_Temp,Maximum_Air_Temp,Precipitation,Relative_Humidity_Minimum,Relative_Humidity_Maximum,Barometric_Pressure_Minimum,Barometric_Pressure_Maximum
1987-03-12,09:35:00,1.5,4.5,8.5,0,78,100,-99.9,-99.9
1987-03-13,09:25:00,1,8.5,22.5,0,67,100,-99.9,-99.9
1987-03-14,09:32:00,2.5,7.5,14.5,0,63,100,-99.9,-99.9
1987-03-15,09:46:00,1.5,14.5,14.5,0,58,100,-99.9,-99.9
1987-03-16,09:32:00,10.5,17.5,18.5,0,55,100,-99.9,-99.9
1987-03-17,09:35:00,4.5,7,23.5,0,-99.9,-99.9,-99.9,-99.9
1987-03-18,09:38:00,1,11,11,0,-99.9,-99.9,-99.9,-99.9
1987-03-19,09:45:00,10,14,14.5,22.8,-99.9,-99.9,-99.9,-99.9
1987-03-20,09:35:00,5,11,14.5,0,-99.9,-99.9,-99.9,-99.9
1987-03-21,09:36:00,8,15,15,0,-99.9,-99.9,-99.9,-99.9
1987-03-22,09:23:00,4,15,16,0,-99.9,-99.9,-99.9,-99.9
1987-03-23,09:32:00,7.5,13,20.5,0,-99.9,-99.9,-99.9,-99.9
1987-03-24,09:30:00,6.5,13.5,14.5,0,-99.9,-99.9,-99.9,-99.9
1987-03-25,09:37:00,13,16,16.5,0,-99.9,-99.9,-99.9,-99.9
1987-03-26,09:30:00,15.5,19,19.5,10.6,-99.9,-99.9,-99.9,-99.9
1987-03-27,09:30:00,16,17,19.5,0.6,89,100,-99.9,-99.9
1987-03-28,09:13:00,17,21,23.5,0.6,66,100,-99.9,-99.9
1987-03-29,09:17:00,14,15.5,25.5,0,92,100,-99.9,-99.9
1987-03-30,09:32:00,15,18.5,18.5,16.4,87,100,-99.9,-99.9
1987-03-31,09:49:00,8,9,23,21,59,100,-99.9,-99.9
1987-04-01,09:30:00,1.5,6.5,12.5,0,40,95,-99.9,-99.9
1987-04-02,09:31:00,3,14,13.5,0,60,100,-99.9,-99.9
1987-04-03,09:30:00,7,18.5,18.5,0,64,100,-99.9,-99.9
1987-04-04,09:25:00,2,7,20,0.2,49,86,-99.9,-99.9
