DATE,STATION,SAMPLE,SAMTIME,REPLICAT,TSTAGE,STEMP,AIRTEMP,SEDWATER,SSAL,REDOX,COREAREA,COREDIAM,SEDVOL,COREDEPA,COREDEPB,COLLECT,UNIDCAPI,TOTCAPIT,CAPICAPI,HETEFILI,CAPISP01,UNIDCIRR,TOTCIRRA,CAULLESP,THARYXSP,CIRRSP01,UNIDGLYC,TOTGLYCE,GLYCSP01,UNIDGONI,TOTGONIA,GONISP01,UNIDLUMB,TOTLUMBR,LUMBTENU,LUMBSP01,UNIDMAGE,TOTMAGEL,MAGEPHYL,MAGESP01,UNIDNERE,TOTNEREI,NERESUCC,NERESP01,UNIDORBI,TOTORBIN,HAPLROBU,ORBISP01,UNIDPHYL,TOTPHYLL,ETEOHETE,PHYLSP01,UNIDSP01,TOTSPION,SPIONSPA,PARAPINN,POLYDSPI,POLYSPII,PRICIRRI,PRICIRRO,SPIOBOMB,STREBENE,SPIOSP01,SPIOSP02,UNIDSYLL,TOTSYLLI,SYLLSP01,POLYSP01,POLYSP02,POLYSP03,POLYSP04,UNIDPOLY,TOTPOLYC,TOTSPECI,TOTFAMIL,AMPHIPOD,TSHRIMPS,CUMACEAN,ISOPODSA,UNIDCRUS,TOTCRUST,TOTBIVAL,UNIDNEME,OLIGOCHA,SIPUNCUL,SHELGAST,UNIDMISC,TOTMISCE,TOTUNORG,TALLORGA
8/13/1981,BB,15,12:30:00,1,0,27,28,-9.9,34,-99,109,12,547,0,5,RPM,0,183.4862,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2018,0,0,0,0,0,0,0,642.2018,0,0,0,0,0,0,0,0,0,0,1009.174,4,3,0,0,0,0,0,0,183.4862,91.74312,917.4312,0,0,0,1009.174,0,2201.835
8/13/1981,BB,15,12:30:00,2,0,27,28,-9.9,34,-99,109,12,547,0,5,RPM,0,917.4312,917.4312,0,0,91.74312,91.74312,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,1559.633,0,0,0,0,0,0,0,1559.633,0,0,91.74312,91.74312,0,0,0,0,0,0,2844.037,3,6,91.74312,0,0,0,0,91.74312,91.74312,91.74312,458.7156,0,0,0,550.4587,0,3577.982
8/26/1981,BB,16,12:15:00,1,0,21,25,26,30,1,109,12,547,0,5,RPM,0,458.7156,458.7156,0,0,733.945,733.945,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.74312,2935.78,0,0,0,0,0,0,0,2844.037,0,0,91.74312,91.74312,0,0,0,0,0,0,4311.927,3,5,0,0,0,0,0,0,183.4862,183.4862,1926.606,0,0,0,2110.092,0,6605.505
8/26/1981,BB,16,12:15:00,2,0,21,25,26,30,1,109,12,547,0,5,RPM,0,458.7156,458.7156,0,0,1100.917,1100.917,0,0,0,0,0,0,0,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917.4312,91.74312,91.74312,0,0,0,0,0,733.945,0,0,0,0,0,0,0,0,0,0,2568.807,5,4,91.74312,0,0,0,0,91.74312,0,91.74312,366.9725,0,0,0,458.7156,0,3119.266
9/11/1981,BB,17,-99,1,0,27,23,30,35,-99,109,12,547,0,5,RPM,0,275.2294,275.2294,0,0,2385.321,2385.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.4587,0,0,0,0,0,0,0,550.4587,0,0,0,0,0,0,0,0,0,0,3211.009,2,3,0,0,0,0,0,0,0,0,550.4587,91.74312,0,0,642.2018,0,3853.211
9/11/1981,BB,17,-99,2,0,27,23,30,35,-99,109,12,547,0,5,RPM,0,642.2018,550.4587,91.74312,0,917.4312,917.4312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.6881,0,0,0,0,0,91.74312,0,733.945,0,0,91.74312,91.74312,0,0,0,0,0,91.74312,2568.807,5,5,0,0,0,0,0,0,91.74312,0,0,0,0,0,0,0,2660.55
9/25/1981,BB,18,13:25:00,1,0,22,24,23,36,3,109,12,547,0,5,RPM,0,366.9725,366.9725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.74312,91.74312,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.2294,0,91.74312,0,0,0,0,0,183.4862,0,0,91.74312,91.74312,0,0,0,0,0,0,917.4312,5,5,91.74312,0,0,0,0,91.74312,458.7156,0,0,91.74312,0,0,91.74312,0,1559.633
9/25/1981,BB,18,13:25:00,2,0,22,24,23,36,3,109,12,547,0,5,RPM,0,91.74312,91.74312,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,275.2294,275.2294,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.74312,0,0,0,0,0,0,0,91.74312,0,0,0,0,0,0,0,0,0,91.74312,825.6881,5,6,0,0,0,0,0,0,91.74312,91.74312,0,0,0,0,91.74312,0,1009.174
10/9/1981,BB,19,11:30:00,1,1,17,16,19,36,2,109,12,547,0,5,RPM,0,642.2018,550.4587,91.74312,0,458.7156,458.7156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.2294,0,0,0,0,0,0,0,275.2294,0,0,0,0,0,0,0,0,0,0,1376.147,3,3,0,0,0,0,0,0,0,0,183.4862,0,0,183.4862,366.9725,183.4862,1743.119
10/9/1981,BB,19,11:30:00,2,1,17,16,19,36,2,109,12,547,0,5,RPM,0,275.2294,183.4862,91.74312,0,1559.633,1559.633,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1926.606,3,3,0,0,0,0,0,0,0,0,91.74312,0,0,91.74312,183.4862,91.74312,2110.092
